Year,data.Device_type,data.Sex,data.Age,Value
2018,data.Smartphone,,,91
2018,data.Smartphone,data.Male,,93.4
2018,data.Smartphone,data.Female,,88.6
2018,data.Smartphone,,6-19,95.5
2018,data.Smartphone,,20-29,99.9
2018,data.Smartphone,,30-39,99.9
2018,data.Smartphone,,40-49,99.7
2018,data.Smartphone,,50-59,98.4
2018,data.Smartphone,,60-69,87.5
2018,data.Smartphone,,70+,36.3
2019,data.Smartphone,,,92.2
2019,data.Smartphone,data.Male,,94.4
2019,data.Smartphone,data.Female,,90
2019,data.Smartphone,,6-19,96.6
2019,data.Smartphone,,20-29,99.9
2019,data.Smartphone,,30-39,99.9
2019,data.Smartphone,,40-49,99.9
2019,data.Smartphone,,50-59,99.8
2019,data.Smartphone,,60-69,92
2019,data.Smartphone,,70+,40.2
2020,data.Smartphone,,,93.1
2020,data.Smartphone,data.Male,,94.8
2020,data.Smartphone,data.Female,,91.3
2020,data.Smartphone,,6-19,94.7
2020,data.Smartphone,,20-29,99.6
2020,data.Smartphone,,30-39,99.5
2020,data.Smartphone,,40-49,99.5
2020,data.Smartphone,,50-59,99.9
2020,data.Smartphone,,60-69,93.1
2020,data.Smartphone,,70+,53.8
