Year,data.Cause_of_death,data.Sex,Value
2000,data.Cancer,,122.4
2000,data.Cancer,Male,156
2000,data.Cancer,Female,88.6
2000,data.Diabetes,,22.7
2000,data.Diabetes,Male,22.6
2000,data.Diabetes,Female,22.8
2000,data.Cardiovascular_diseases,,0.3
2000,data.Cardiovascular_diseases,Male,0.2
2000,data.Cardiovascular_diseases,Female,0.5
2000,data.Chronic_respiratory_diseases,,12.1923580513622
2000,data.Chronic_respiratory_diseases,Male,14.1516521271616
2000,data.Chronic_respiratory_diseases,Female,10.3178990034973
2001,data.Cancer,,123.8
2001,data.Cancer,Male,157.3
2001,data.Cancer,Female,90.1
2001,data.Diabetes,,23.9
2001,data.Diabetes,Male,23.6
2001,data.Diabetes,Female,24.3
2001,data.Cardiovascular_diseases,,0.3
2001,data.Cardiovascular_diseases,Male,0.2
2001,data.Cardiovascular_diseases,Female,0.5
2001,data.Chronic_respiratory_diseases,,12.7348397865012
2001,data.Chronic_respiratory_diseases,Male,14.8060248819801
2001,data.Chronic_respiratory_diseases,Female,10.7704740730879
2002,data.Cancer,,130.9
2002,data.Cancer,Male,166.4
2002,data.Cancer,Female,95.2
2002,data.Diabetes,,25.2
2002,data.Diabetes,Male,24.4
2002,data.Diabetes,Female,26.1
2002,data.Cardiovascular_diseases,,0.6
2002,data.Cardiovascular_diseases,Male,0.5
2002,data.Cardiovascular_diseases,Female,0.7
2002,data.Chronic_respiratory_diseases,,14.0215914133642
2002,data.Chronic_respiratory_diseases,Male,15.9033153576332
2002,data.Chronic_respiratory_diseases,Female,12.1488036676538
2003,data.Cancer,,131.9
2003,data.Cancer,Male,166.3
2003,data.Cancer,Female,97.3
2003,data.Diabetes,,25.2
2003,data.Diabetes,Male,24.9
2003,data.Diabetes,Female,25.4
2003,data.Cardiovascular_diseases,,0.7
2003,data.Cardiovascular_diseases,Male,0.5
2003,data.Cardiovascular_diseases,Female,0.8
2003,data.Chronic_respiratory_diseases,,11.7953071585208
2003,data.Chronic_respiratory_diseases,Male,13.7971328841653
2003,data.Chronic_respiratory_diseases,Female,9.82262760495319
2004,data.Cancer,,133.4
2004,data.Cancer,Male,169.6
2004,data.Cancer,Female,97.1
2004,data.Diabetes,,24.4
2004,data.Diabetes,Male,24.2
2004,data.Diabetes,Female,24.6
2004,data.Cardiovascular_diseases,,0.6
2004,data.Cardiovascular_diseases,Male,0.5
2004,data.Cardiovascular_diseases,Female,0.7
2004,data.Chronic_respiratory_diseases,,11.0263664015416
2004,data.Chronic_respiratory_diseases,Male,13.8998580671324
2004,data.Chronic_respiratory_diseases,Female,8.11860311106533
2005,data.Cancer,,134.6
2005,data.Cancer,Male,169.3
2005,data.Cancer,Female,99.7
2005,data.Diabetes,,24.3
2005,data.Diabetes,Male,24.5
2005,data.Diabetes,Female,24.2
2005,data.Cardiovascular_diseases,,0.6
2005,data.Cardiovascular_diseases,Male,0.5
2005,data.Cardiovascular_diseases,Female,0.7
2005,data.Chronic_respiratory_diseases,,10.4171866737176
2005,data.Chronic_respiratory_diseases,Male,12.8252090227124
2005,data.Chronic_respiratory_diseases,Female,7.97811704834606
2006,data.Cancer,,134.8
2006,data.Cancer,Male,171.6
2006,data.Cancer,Female,97.9
2006,data.Diabetes,,23.8
2006,data.Diabetes,Male,23.8
2006,data.Diabetes,Female,23.8
2006,data.Cardiovascular_diseases,,0.6
2006,data.Cardiovascular_diseases,Male,0.4
2006,data.Cardiovascular_diseases,Female,0.7
2006,data.Chronic_respiratory_diseases,,9.97342523293511
2006,data.Chronic_respiratory_diseases,Male,12.5119959934469
2006,data.Chronic_respiratory_diseases,Female,7.37693736026375
2007,data.Cancer,,138.1
2007,data.Cancer,Male,174.3
2007,data.Cancer,Female,101.8
2007,data.Diabetes,,23.1
2007,data.Diabetes,Male,23.2
2007,data.Diabetes,Female,22.9
2007,data.Cardiovascular_diseases,,0.5
2007,data.Cardiovascular_diseases,Male,0.3
2007,data.Cardiovascular_diseases,Female,0.7
2007,data.Chronic_respiratory_diseases,,10.4799920969442
2007,data.Chronic_respiratory_diseases,Male,12.9035558096769
2007,data.Chronic_respiratory_diseases,Female,8.15012198599537
2008,data.Cancer,,139.5
2008,data.Cancer,Male,176.9
2008,data.Cancer,Female,101.9
2008,data.Diabetes,,20.7
2008,data.Diabetes,Male,20.9
2008,data.Diabetes,Female,20.5
2008,data.Cardiovascular_diseases,,0.5
2008,data.Cardiovascular_diseases,Male,0.3
2008,data.Cardiovascular_diseases,Female,0.6
2008,data.Chronic_respiratory_diseases,,10.7040324230739
2008,data.Chronic_respiratory_diseases,Male,13.0317551404098
2008,data.Chronic_respiratory_diseases,Female,8.25802186177715
2009,data.Cancer,,140.5
2009,data.Cancer,Male,176.3
2009,data.Cancer,Female,104.6
2009,data.Diabetes,,19.6
2009,data.Diabetes,Male,19.9
2009,data.Diabetes,Female,19.4
2009,data.Cardiovascular_diseases,,0.4
2009,data.Cardiovascular_diseases,Male,0.2
2009,data.Cardiovascular_diseases,Female,0.5
2009,data.Chronic_respiratory_diseases,,10.6096130001431
2009,data.Chronic_respiratory_diseases,Male,13.144951244254
2009,data.Chronic_respiratory_diseases,Female,8.03994896136375
2010,data.Cancer,,144.4
2010,data.Cancer,Male,181
2010,data.Cancer,Female,107.8
2010,data.Diabetes,,20.7
2010,data.Diabetes,Male,21
2010,data.Diabetes,Female,20.5
2010,data.Cardiovascular_diseases,,0.4
2010,data.Cardiovascular_diseases,Male,0.3
2010,data.Cardiovascular_diseases,Female,5.39624228827818
2010,data.Chronic_respiratory_diseases,,11.0051857659416
2010,data.Chronic_respiratory_diseases,Male,13.491293858036
2010,data.Chronic_respiratory_diseases,Female,10.5
2011,data.Cancer,,142.8
2011,data.Cancer,Male,178.9
2011,data.Cancer,Female,106.7
2011,data.Diabetes,,21.5
2011,data.Diabetes,Male,22.1
2011,data.Diabetes,Female,20.9
2011,data.Cardiovascular_diseases,,0.4
