Year,Units,Type of product,Value
2001,연령대별2,1-2세,15.7
2001,연령대별2,3-5세,16.8
2001,연령대별2,6-11세,16.1
2001,연령대별2,12-18세,21.5
2001,연령대별2,19-29세,20.8
2001,연령대별2,30-49세,15.5
2001,연령대별2,50-64세,17.4
2001,연령대별2,65세이상,27.8
2005,연령대별2,1-2세,8.7
2005,연령대별2,3-5세,7.1
2005,연령대별2,6-11세,6.7
2005,연령대별2,12-18세,14.5
2005,연령대별2,19-29세,16.0
2005,연령대별2,30-49세,10.2
2005,연령대별2,50-64세,9.7
2005,연령대별2,65세이상,15.8
2007,연령대별2,1-2세,18.1
2007,연령대별2,3-5세,15.5
2007,연령대별2,6-11세,11.3
2007,연령대별2,12-18세,19.9
2007,연령대별2,19-29세,21.8
2007,연령대별2,30-49세,14.1
2007,연령대별2,50-64세,13.7
2007,연령대별2,65세이상,27.5
2008,연령대별2,1-2세,7.6
2008,연령대별2,3-5세,6.7
2008,연령대별2,6-11세,6.8
2008,연령대별2,12-18세,20.0
2008,연령대별2,19-29세,20.7
2008,연령대별2,30-49세,11.2
2008,연령대별2,50-64세,9.3
2008,연령대별2,65세이상,20.5
2009,연령대별2,1-2세,8.2
2009,연령대별2,3-5세,7.4
2009,연령대별2,6-11세,7.9
2009,연령대별2,12-18세,21.9
2009,연령대별2,19-29세,19.2
2009,연령대별2,30-49세,11.9
2009,연령대별2,50-64세,9.1
2009,연령대별2,65세이상,22.6
2010,연령대별2,1-2세,4.9
2010,연령대별2,3-5세,7.0
2010,연령대별2,6-11세,7.5
2010,연령대별2,12-18세,15.6
2010,연령대별2,19-29세,14.8
2010,연령대별2,30-49세,8.1
2010,연령대별2,50-64세,5.7
2010,연령대별2,65세이상,14.7
2011,연령대별2,1-2세,11.4
2011,연령대별2,3-5세,6.0
2011,연령대별2,6-11세,4.3
2011,연령대별2,12-18세,14.9
2011,연령대별2,19-29세,15.4
2011,연령대별2,30-49세,9.3
2011,연령대별2,50-64세,5.9
2011,연령대별2,65세이상,17.0
2012,연령대별2,1-2세,9.3
2012,연령대별2,3-5세,7.6
2012,연령대별2,6-11세,7.3
2012,연령대별2,12-18세,17.0
2012,연령대별2,19-29세,17.1
2012,연령대별2,30-49세,10.3
2012,연령대별2,50-64세,8.0
2012,연령대별2,65세이상,15.6
2013,연령대별2,1-2세,5.9
2013,연령대별2,3-5세,5.9
2013,연령대별2,6-11세,4.1
2013,연령대별2,12-18세,15.9
2013,연령대별2,19-29세,13.3
2013,연령대별2,30-49세,7.5
2013,연령대별2,50-64세,3.1
2013,연령대별2,65세이상,8.5
2014,연령대별2,1-2세,12.7
2014,연령대별2,3-5세,4.8
2014,연령대별2,6-11세,3.5
2014,연령대별2,12-18세,15.4
2014,연령대별2,19-29세,12.4
2014,연령대별2,30-49세,7.9
2014,연령대별2,50-64세,3.3
2014,연령대별2,65세이상,8.3
2015,연령대별2,1-2세,7.4
2015,연령대별2,3-5세,5.7
2015,연령대별2,6-11세,4.8
2015,연령대별2,12-18세,16.7
2015,연령대별2,19-29세,13.1
2015,연령대별2,30-49세,8.5
2015,연령대별2,50-64세,3.9
2015,연령대별2,65세이상,8.3
2016,연령대별2,1-2세,4.8
2016,연령대별2,3-5세,7.3
2016,연령대별2,6-11세,4.8
2016,연령대별2,12-18세,19.4
2016,연령대별2,19-29세,15.4
2016,연령대별2,30-49세,12.9
2016,연령대별2,50-64세,9.1
2016,연령대별2,65세이상,14.1
2017,연령대별2,1-2세,7.8
2017,연령대별2,3-5세,3.2
2017,연령대별2,6-11세,6.6
2017,연령대별2,12-18세,19.2
2017,연령대별2,19-29세,19.9
2017,연령대별2,30-49세,13.1
2017,연령대별2,50-64세,9.9
2017,연령대별2,65세이상,14.7
2018,연령대별2,1-2세,5.3
2018,연령대별2,3-5세,3.8
2018,연령대별2,6-11세,8.4
2018,연령대별2,12-18세,17.6
2018,연령대별2,19-29세,16.2
2018,연령대별2,30-49세,14.4
2018,연령대별2,50-64세,8.8
2018,연령대별2,65세이상,14.4
2001,거주지역별,동,18.0
2001,거주지역별,읍면,20.0
2005,거주지역별,동,11.4
2005,거주지역별,읍면,12.3
2007,거주지역별,동,17.4
2007,거주지역별,읍면,16.2
2008,거주지역별,동,13.6
2008,거주지역별,읍면,14.6
2009,거주지역별,동,13.9
2009,거주지역별,읍면,15.7
2010,거주지역별,동,10.2
2010,거주지역별,읍면,9.5
2011,거주지역별,동,11.0
2011,거주지역별,읍면,9.0
2012,거주지역별,동,11.1
2012,거주지역별,읍면,15.2
2013,거주지역별,동,8.3
2013,거주지역별,읍면,7.1
2014,거주지역별,동,7.9
2014,거주지역별,읍면,8.5
2015,거주지역별,동,8.6
2015,거주지역별,읍면,8.5
2016,거주지역별,동,11.9
2016,거주지역별,읍면,15.3
2017,거주지역별,동,13.1
2017,거주지역별,읍면,14.7
2018,거주지역별,동,12.9
2018,거주지역별,읍면,12.6
