Year,주종별,Value
2005,,9.787
2005,범주01 탁주,0.324
2005,범주02 약주,0.138
2005,범주03 청주,0.098
2005,범주04 맥주,2.049
2005,범주05 과실주,0.132
2005,범주06 증류식 소주,0.004
2005,범주07 희석식 소주,6.476
2005,범주08 위스키,0.365
2005,범주09 브랜디,0.015
2005,범주10 일반 증류수,0.103
2005,범주11 리큐르,0.064
2005,범주12 기타 주류,0.019
2006,,9.977
2006,범주01 탁주,0.328
2006,범주02 약주,0.131
2006,범주03 청주,0.091
2006,범주04 맥주,2.095
2006,범주05 과실주,0.15
2006,범주06 증류식 소주,0.005
2006,범주07 희석식 소주,6.61
2006,범주08 위스키,0.35
2006,범주09 브랜디,0.019
2006,범주10 일반 증류수,0.103
2006,범주11 리큐르,0.07
2006,범주12 기타 주류,0.024
2007,,10.07
2007,범주01 탁주,0.328
2007,범주02 약주,0.1
2007,범주03 청주,0.088
2007,범주04 맥주,2.181
2007,범주05 과실주,0.201
2007,범주06 증류식 소주,0.006
2007,범주07 희석식 소주,6.56
2007,범주08 위스키,0.381
2007,범주09 브랜디,0.021
2007,범주10 일반 증류수,0.113
2007,범주11 리큐르,0.065
2007,범주12 기타 주류,0.027
2008,,10.225
2008,범주01 탁주,0.331
2008,범주02 약주,0.081
2008,범주03 청주,0.083
2008,범주04 맥주,2.232
2008,범주05 과실주,0.182
2008,범주06 증류식 소주,0.006
2008,범주07 희석식 소주,6.745
2008,범주08 위스키,0.336
2008,범주09 브랜디,0.017
2008,범주10 일반 증류수,0.113
2008,범주11 리큐르,0.069
2008,범주12 기타 주류,0.03
2009,,9.631
2009,범주01 탁주,0.484
2009,범주02 약주,0.065
2009,범주03 청주,0.088
2009,범주04 맥주,2.146
2009,범주05 과실주,0.147
2009,범주06 증류식 소주,0.008
2009,범주07 희석식 소주,6.178
2009,범주08 위스키,0.276
2009,범주09 브랜디,0.015
2009,범주10 일반 증류수,0.144
2009,범주11 리큐르,0.052
2009,범주12 기타 주류,0.027
2010,,9.715
2010,범주01 탁주,0.757
2010,범주02 약주,0.055
2010,범주03 청주,0.089
2010,범주04 맥주,2.075
2010,범주05 과실주,0.149
2010,범주06 증류식 소주,0.007
2010,범주07 희석식 소주,6.113
2010,범주08 위스키,0.278
2010,범주09 브랜디,0.014
2010,범주10 일반 증류수,0.099
2010,범주11 리큐르,0.045
2010,범주12 기타 주류,0.035
2011,,9.652
2011,범주01 탁주,0.829
2011,범주02 약주,0.054
2011,범주03 청주,0.092
2011,범주04 맥주,2.112
2011,범주05 과실주,0.145
2011,범주06 증류식 소주,0.007
2011,범주07 희석식 소주,5.977
2011,범주08 위스키,0.244
2011,범주09 브랜디,0.012
2011,범주10 일반 증류수,0.109
2011,범주11 리큐르,0.042
2011,범주12 기타 주류,0.028
2012,,9.777
2012,범주01 탁주,0.8
2012,범주02 약주,0.047
2012,범주03 청주,0.097
2012,범주04 맥주,2.17
2012,범주05 과실주,0.143
2012,범주06 증류식 소주,0.007
2012,범주07 희석식 소주,6.084
2012,범주08 위스키,0.211
2012,범주09 브랜디,0.01
2012,범주10 일반 증류수,0.121
2012,범주11 리큐르,0.059
2012,범주12 기타 주류,0.029
2013,,9.43
2013,범주01 탁주,0.752
2013,범주02 약주,0.041
2013,범주03 청주,0.102
2013,범주04 맥주,2.196
2013,범주05 과실주,0.159
2013,범주06 증류식 소주,0.007
2013,범주07 희석식 소주,5.726
2013,범주08 위스키,0.189
2013,범주09 브랜디,0.009
2013,범주10 일반 증류수,0.154
2013,범주11 리큐르,0.061
2013,범주12 기타 주류,0.033
2014,,9.65
2014,범주01 탁주,0.75
2014,범주02 약주,0.034
2014,범주03 청주,0.093
2014,범주04 맥주,2.178
2014,범주05 과실주,0.161
2014,범주06 증류식 소주,0.007
2014,범주07 희석식 소주,5.966
2014,범주08 위스키,0.181
2014,범주09 브랜디,0.012
2014,범주10 일반 증류수,0.168
2014,범주11 리큐르,0.06
2014,범주12 기타 주류,0.04
2015,,9.813
2015,범주01 탁주,0.714
2015,범주02 약주,0.031
2015,범주03 청주,0.087
2015,범주04 맥주,2.186
2015,범주05 과실주,0.183
2015,범주06 증류식 소주,0.009
2015,범주07 희석식 소주,5.875
2015,범주08 위스키,0.173
2015,범주09 브랜디,0.008
2015,범주10 일반 증류수,0.189
2015,범주11 리큐르,0.313
2015,범주12 기타 주류,0.045
2016,,9.345
2016,범주01 탁주,0.678
2016,범주02 약주,0.031
2016,범주03 청주,0.089
2016,범주04 맥주,2.15
2016,범주05 과실주,0.165
2016,범주06 증류식 소주,0.011
2016,범주07 희석식 소주,5.665
2016,범주08 위스키,0.163
2016,범주09 브랜디,0.007
2016,범주10 일반 증류수,0.15
2016,범주11 리큐르,0.16
2016,범주12 기타 주류,0.076
2017,,9.27
2017,범주01 탁주,0.687
2017,범주02 약주,0.029
2017,범주03 청주,0.095
2017,범주04 맥주,2.079
2017,범주05 과실주,0.149
2017,범주06 증류식 소주,0.016
2017,범주07 희석식 소주,5.682
2017,범주08 위스키,0.153
2017,범주09 브랜디,0.006
2017,범주10 일반 증류수,0.138
2017,범주11 리큐르,0.086
2017,범주12 기타 주류,0.149
2018,,9.043
2018,범주01 탁주,0.668
2018,범주02 약주,0.03
2018,범주03 청주,0.097
2018,범주04 맥주,2.033
2018,범주05 과실주,0.16
2018,범주06 증류식 소주,0.015
2018,범주07 희석식 소주,5.451
2018,범주08 위스키,0.135
2018,범주09 브랜디,0.005
2018,범주10 일반 증류수,0.134
2018,범주11 리큐르,0.081
2018,범주12 기타 주류,0.235
