Year,data.category,Value
2000,data.Industries,64.55
2001,data.Industries,60.89
2002,data.Industries,61.37
2003,data.Industries,63.91
2004,data.Industries,71.24
2005,data.Industries,73.13
2006,data.Industries,75.5
2007,data.Industries,79.96
2008,data.Industries,81.73
2009,data.Industries,82.53
2010,data.Industries,91.18
2011,data.Industries,96.23
2012,data.Industries,97.33
2013,data.Industries,100.87
2014,data.Industries,101.9
2015,data.Industries,104.19
2016,data.Industries,107.67
2017,data.Industries,113.99
2018,data.Industries,115.55
2018,data.Agriculture(ISIC4 A01 A0210 A0322),1.62
2016,data.Agriculture(ISIC4 A01 A0210 A0322),1.53
2017,data.Agriculture(ISIC4 A01 A0210 A0322),1.59
2012,data.Agriculture(ISIC4 A01 A0210 A0322),1.54
2013,data.Agriculture(ISIC4 A01 A0210 A0322),1.54
2014,data.Agriculture(ISIC4 A01 A0210 A0322),1.57
2015,data.Agriculture(ISIC4 A01 A0210 A0322),1.58
2010,data.Agriculture(ISIC4 A01 A0210 A0322),1.43
2011,data.Agriculture(ISIC4 A01 A0210 A0322),1.54
2008,data.Agriculture(ISIC4 A01 A0210 A0322),1.3
2009,data.Agriculture(ISIC4 A01 A0210 A0322),1.39
2004,data.Agriculture(ISIC4 A01 A0210 A0322),1.39
2005,data.Agriculture(ISIC4 A01 A0210 A0322),1.32
2006,data.Agriculture(ISIC4 A01 A0210 A0322),1.37
2007,data.Agriculture(ISIC4 A01 A0210 A0322),1.34
2002,data.Agriculture(ISIC4 A01 A0210 A0322),1.28
2003,data.Agriculture(ISIC4 A01 A0210 A0322),1.28
2000,data.Agriculture(ISIC4 A01 A0210 A0322),1.26
2001,data.Agriculture(ISIC4 A01 A0210 A0322),1.28
2000,data.Services(ISIC4 G to T),74.13
2002,data.Services(ISIC4 G to T),58.82
2001,data.Services(ISIC4 G to T),64.5
2003,data.Services(ISIC4 G to T),65.23
2004,data.Services(ISIC4 G to T),72.51
2006,data.Services(ISIC4 G to T),87.9
2005,data.Services(ISIC4 G to T),82.83
2007,data.Services(ISIC4 G to T),92.91
2008,data.Services(ISIC4 G to T),95.82
2009,data.Services(ISIC4 G to T),96.26
2011,data.Services(ISIC4 G to T),102.71
2010,data.Services(ISIC4 G to T),100.15
2014,data.Services(ISIC4 G to T),113.14
2012,data.Services(ISIC4 G to T),105.52
2016,data.Services(ISIC4 G to T),130.96
2013,data.Services(ISIC4 G to T),108.81
2015,data.Services(ISIC4 G to T),129.97
2017,data.Services(ISIC4 G to T),133.05
2018,data.Services(ISIC4 G to T),137.47
2018,data.Total(no breakdown),53.81
2016,data.Total(no breakdown),50.86
2017,data.Total(no breakdown),52.45
2015,data.Total(no breakdown),49.71
2013,data.Total(no breakdown),42.72
2012,data.Total(no breakdown),41.45
2014,data.Total(no breakdown),44.12
2010,data.Total(no breakdown),39.04
2011,data.Total(no breakdown),40.54
2008,data.Total(no breakdown),36.36
2009,data.Total(no breakdown),36.79
2006,data.Total(no breakdown),33.59
2007,data.Total(no breakdown),35.44
2005,data.Total(no breakdown),29.93
2004,data.Total(no breakdown),30.1
2003,data.Total(no breakdown),27.89
2002,data.Total(no breakdown),26.3
2000,data.Total(no breakdown),26.54
2001,data.Total(no breakdown),26.04
