Year,Units,교통수단별,Value
2011,국내 승객량,철도,1118621
2012,국내 승객량,철도,1149340
2013,국내 승객량,철도,1224820
2014,국내 승객량,철도,1263472
2015,국내 승객량,철도,1269417
2016,국내 승객량,철도,1449534
2017,국내 승객량,철도,1490257
2018,국내 승객량,철도,1524590
2019,국내 승객량,철도,1570415
2020,국내 승객량,철도,1122872
2021,국내 승객량,철도,1170749
2011,국내 승객량,지하철,2358758
2012,국내 승객량,지하철,2410931
2013,국내 승객량,지하철,2476394
2014,국내 승객량,지하철,2526167
2015,국내 승객량,지하철,2522900
2016,국내 승객량,지하철,3572127
2017,국내 승객량,지하철,3604712
2018,국내 승객량,지하철,3618352
2019,국내 승객량,지하철,3705150
2020,국내 승객량,지하철,2677582
2021,국내 승객량,지하철,2759948
2011,국내 승객량,공로,25943079
2012,국내 승객량,공로,25982998
2013,국내 승객량,공로,26327678
2014,국내 승객량,공로,26678513
2015,국내 승객량,공로,27193794
2016,국내 승객량,공로,28090714
2017,국내 승객량,공로,28192366
2018,국내 승객량,공로,28409618
2019,국내 승객량,공로,28649339
2020,국내 승객량,공로,25361540
2021,국내 승객량,공로,30168830
2011,국내 승객량,해상운송,14266
2012,국내 승객량,해상운송,14538
2013,국내 승객량,해상운송,16063
2014,국내 승객량,해상운송,14271
2015,국내 승객량,해상운송,15381
2016,국내 승객량,해상운송,15423
2017,국내 승객량,해상운송,16910
2018,국내 승객량,해상운송,14625
2019,국내 승객량,해상운송,14585
2020,국내 승객량,해상운송,10603
2021,국내 승객량,해상운송,11464
2011,국내 승객량,항공운수,20981
2012,국내 승객량,항공운수,21602
2013,국내 승객량,항공운수,22353
2014,국내 승객량,항공운수,24648
2015,국내 승객량,항공운수,27980
2016,국내 승객량,항공운수,30913
2017,국내 승객량,항공운수,32406
2018,국내 승객량,항공운수,31601
2019,국내 승객량,항공운수,32981
2020,국내 승객량,항공운수,25164
2021,국내 승객량,항공운수,33147
2011,국제 승객량,해상운송,2660
2012,국제 승객량,해상운송,2881
2013,국제 승객량,해상운송,2737
2014,국제 승객량,해상운송,2646
2015,국제 승객량,해상운송,2617
2016,국제 승객량,해상운송,2777
2017,국제 승객량,해상운송,2728
2018,국제 승객량,해상운송,2980
2019,국제 승객량,해상운송,2969
2020,국제 승객량,해상운송,169
2021,국제 승객량,해상운송,0
2011,국제 승객량,항공운수,42649
2012,국제 승객량,항공운수,47703
2013,국제 승객량,항공운수,50987
2014,국제 승객량,항공운수,56779
2015,국제 승객량,항공운수,61434
2016,국제 승객량,항공운수,73001
2017,국제 승객량,항공운수,76956
2018,국제 승객량,항공운수,85925
2019,국제 승객량,항공운수,90386
2020,국제 승객량,항공운수,14240
2021,국제 승객량,항공운수,3209
2011,국내 화물량,철도,40012
2012,국내 화물량,철도,40309
2013,국내 화물량,철도,39822
2014,국내 화물량,철도,37379
2015,국내 화물량,철도,37094
2016,국내 화물량,철도,32555
2017,국내 화물량,철도,31670
2018,국내 화물량,철도,30915
2019,국내 화물량,철도,28664
2020,국내 화물량,철도,26277
2021,국내 화물량,철도,26780
2011,국내 화물량,공로,1439625
2012,국내 화물량,공로,1554510
2013,국내 화물량,공로,1546407
2014,국내 화물량,공로,1512700
2015,국내 화물량,공로,1761291
2016,국내 화물량,공로,1799565
2017,국내 화물량,공로,1854011
2018,국내 화물량,공로,1895686
2019,국내 화물량,공로,1847241
2020,국내 화물량,공로,1788917
2021,국내 화물량,공로,1848182
2011,국내 화물량,해상운송,125588
2012,국내 화물량,해상운송,119057
2013,국내 화물량,해상운송,117860
2014,국내 화물량,해상운송,117920
2015,국내 화물량,해상운송,128611
2016,국내 화물량,해상운송,143227
2017,국내 화물량,해상운송,142587
2018,국내 화물량,해상운송,120327
2019,국내 화물량,해상운송,107408
2020,국내 화물량,해상운송,111513
2021,국내 화물량,해상운송,115125
2011,국내 화물량,항공운수,281
2012,국내 화물량,항공운수,265
2013,국내 화물량,항공운수,253
2014,국내 화물량,항공운수,283
2015,국내 화물량,항공운수,288
2016,국내 화물량,항공운수,293
2017,국내 화물량,항공운수,290
2018,국내 화물량,항공운수,273
2019,국내 화물량,항공운수,259
2020,국내 화물량,항공운수,182
2021,국내 화물량,항공운수,205
2011,국제 화물량,해상운송,1069566
2012,국제 화물량,해상운송,1108538
2013,국제 화물량,해상운송,1123205
2014,국제 화물량,해상운송,1184641
2015,국제 화물량,해상운송,1216782
2016,국제 화물량,해상운송,1242597
2017,국제 화물량,해상운송,1312489
2018,국제 화물량,해상운송,1405925
2019,국제 화물량,해상운송,1429150
2020,국제 화물량,해상운송,1276228
2021,국제 화물량,해상운송,1352575
2011,국제 화물량,항공운수,3238
2012,국제 화물량,항공운수,3209
2013,국제 화물량,항공운수,3246
2014,국제 화물량,항공운수,3411
2015,국제 화물량,항공운수,3519
2016,국제 화물량,항공운수,3781
2017,국제 화물량,항공운수,4032
2018,국제 화물량,항공운수,4169
2019,국제 화물량,항공운수,4016
2020,국제 화물량,항공운수,3071
2021,국제 화물량,항공운수,3420
