Year,Value,Units
2001,1.598,Agriculture orientation index for government expenditures
2002,1.616,Agriculture orientation index for government expenditures
2003,1.655,Agriculture orientation index for government expenditures
2004,1.502,Agriculture orientation index for government expenditures
2005,1.716,Agriculture orientation index for government expenditures
2006,2.043,Agriculture orientation index for government expenditures
2007,2.101,Agriculture orientation index for government expenditures
2008,2.201,Agriculture orientation index for government expenditures
2009,1.897,Agriculture orientation index for government expenditures
2010,2.086,Agriculture orientation index for government expenditures
2011,2.154,Agriculture orientation index for government expenditures
2012,1.955,Agriculture orientation index for government expenditures
2013,1.939,Agriculture orientation index for government expenditures
2014,1.809,Agriculture orientation index for government expenditures
2015,2.059,Agriculture orientation index for government expenditures
2016,2.174,Agriculture orientation index for government expenditures
2017,2.163,Agriculture orientation index for government expenditures
2018,2.321,Agriculture orientation index for government expenditures
2019,2.04,Agriculture orientation index for government expenditures
2020,1.8,Agriculture orientation index for government expenditures
2021,2.04,Agriculture orientation index for government expenditures
2001,5.69974,Agriculture share of Government Expenditure(%)
2002,5.18095,Agriculture share of Government Expenditure(%)
2003,4.90677,Agriculture share of Government Expenditure(%)
2004,4.44192,Agriculture share of Government Expenditure(%)
2005,4.49618,Agriculture share of Government Expenditure(%)
2006,5.1013,Agriculture share of Government Expenditure(%)
2007,4.79824,Agriculture share of Government Expenditure(%)
2008,4.71453,Agriculture share of Government Expenditure(%)
2009,4.25093,Agriculture share of Government Expenditure(%)
2010,4.47172,Agriculture share of Government Expenditure(%)
2011,4.7592,Agriculture share of Government Expenditure(%)
2012,4.27384,Agriculture share of Government Expenditure(%)
2013,4.06971,Agriculture share of Government Expenditure(%)
2014,3.72095,Agriculture share of Government Expenditure(%)
2015,4.12655,Agriculture share of Government Expenditure(%)
2016,4.04131,Agriculture share of Government Expenditure(%)
2017,4.0,Agriculture share of Government Expenditure(%)
2018,4.05,Agriculture share of Government Expenditure(%)
2019,3.41,Agriculture share of Government Expenditure(%)
2020,3.17,Agriculture share of Government Expenditure(%)
2021,3.66,Agriculture share of Government Expenditure(%)
2001,3.56582,Agriculture value added share of GDP(%)
2002,3.2068,Agriculture value added share of GDP(%)
2003,2.9646,Agriculture value added share of GDP(%)
2004,2.95802,Agriculture value added share of GDP(%)
2005,2.61998,Agriculture value added share of GDP(%)
2006,2.49747,Agriculture value added share of GDP(%)
2007,2.28341,Agriculture value added share of GDP(%)
2008,2.14225,Agriculture value added share of GDP(%)
2009,2.24056,Agriculture value added share of GDP(%)
2010,2.14402,Agriculture value added share of GDP(%)
2011,2.2092,Agriculture value added share of GDP(%)
2012,2.18619,Agriculture value added share of GDP(%)
2013,2.09905,Agriculture value added share of GDP(%)
2014,2.05668,Agriculture value added share of GDP(%)
2015,2.00391,Agriculture value added share of GDP(%)
2016,1.85903,Agriculture value added share of GDP(%)
2017,1.85076,Agriculture value added share of GDP(%)
2018,1.7464,Agriculture value added share of GDP(%)
2019,1.67,Agriculture value added share of GDP(%)
2020,1.77,Agriculture value added share of GDP(%)
2021,1.79,Agriculture value added share of GDP(%)
