Year,Alcohol,Value
2005,,9.787
2005,01 Takju,0.324
2005,02 Yakju,0.138
2005,03 Cheongju,0.098
2005,04 Beer,2.049
2005,05 Wine,0.132
2005,06 Distilled soju,0.004
2005,07 Diluted soju,6.476
2005,08 Whiskey,0.365
2005,09 Brandy,0.015
2005,10 Sprits,0.103
2005,11 Liquor,0.064
2005,12 Others,0.019
2006,,9.977
2006,01 Takju,0.328
2006,02 Yakju,0.131
2006,03 Cheongju,0.091
2006,04 Beer,2.095
2006,05 Wine,0.15
2006,06 Distilled soju,0.005
2006,07 Diluted soju,6.61
2006,08 Whiskey,0.35
2006,09 Brandy,0.019
2006,10 Sprits,0.103
2006,11 Liquor,0.07
2006,12 Others,0.024
2007,,10.07
2007,01 Takju,0.328
2007,02 Yakju,0.1
2007,03 Cheongju,0.088
2007,04 Beer,2.181
2007,05 Wine,0.201
2007,06 Distilled soju,0.006
2007,07 Diluted soju,6.56
2007,08 Whiskey,0.381
2007,09 Brandy,0.021
2007,10 Sprits,0.113
2007,11 Liquor,0.065
2007,12 Others,0.027
2008,,10.225
2008,01 Takju,0.331
2008,02 Yakju,0.081
2008,03 Cheongju,0.083
2008,04 Beer,2.232
2008,05 Wine,0.182
2008,06 Distilled soju,0.006
2008,07 Diluted soju,6.745
2008,08 Whiskey,0.336
2008,09 Brandy,0.017
2008,10 Sprits,0.113
2008,11 Liquor,0.069
2008,12 Others,0.03
2009,,9.631
2009,01 Takju,0.484
2009,02 Yakju,0.065
2009,03 Cheongju,0.088
2009,04 Beer,2.146
2009,05 Wine,0.147
2009,06 Distilled soju,0.008
2009,07 Diluted soju,6.178
2009,08 Whiskey,0.276
2009,09 Brandy,0.015
2009,10 Sprits,0.144
2009,11 Liquor,0.052
2009,12 Others,0.027
2010,,9.715
2010,01 Takju,0.757
2010,02 Yakju,0.055
2010,03 Cheongju,0.089
2010,04 Beer,2.075
2010,05 Wine,0.149
2010,06 Distilled soju,0.007
2010,07 Diluted soju,6.113
2010,08 Whiskey,0.278
2010,09 Brandy,0.014
2010,10 Sprits,0.099
2010,11 Liquor,0.045
2010,12 Others,0.035
2011,,9.652
2011,01 Takju,0.829
2011,02 Yakju,0.054
2011,03 Cheongju,0.092
2011,04 Beer,2.112
2011,05 Wine,0.145
2011,06 Distilled soju,0.007
2011,07 Diluted soju,5.977
2011,08 Whiskey,0.244
2011,09 Brandy,0.012
2011,10 Sprits,0.109
2011,11 Liquor,0.042
2011,12 Others,0.028
2012,,9.777
2012,01 Takju,0.8
2012,02 Yakju,0.047
2012,03 Cheongju,0.097
2012,04 Beer,2.17
2012,05 Wine,0.143
2012,06 Distilled soju,0.007
2012,07 Diluted soju,6.084
2012,08 Whiskey,0.211
2012,09 Brandy,0.01
2012,10 Sprits,0.121
2012,11 Liquor,0.059
2012,12 Others,0.029
2013,,9.43
2013,01 Takju,0.752
2013,02 Yakju,0.041
2013,03 Cheongju,0.102
2013,04 Beer,2.196
2013,05 Wine,0.159
2013,06 Distilled soju,0.007
2013,07 Diluted soju,5.726
2013,08 Whiskey,0.189
2013,09 Brandy,0.009
2013,10 Sprits,0.154
2013,11 Liquor,0.061
2013,12 Others,0.033
2014,,9.65
2014,01 Takju,0.75
2014,02 Yakju,0.034
2014,03 Cheongju,0.093
2014,04 Beer,2.178
2014,05 Wine,0.161
2014,06 Distilled soju,0.007
2014,07 Diluted soju,5.966
2014,08 Whiskey,0.181
2014,09 Brandy,0.012
2014,10 Sprits,0.168
2014,11 Liquor,0.06
2014,12 Others,0.04
2015,,9.813
2015,01 Takju,0.714
2015,02 Yakju,0.031
2015,03 Cheongju,0.087
2015,04 Beer,2.186
2015,05 Wine,0.183
2015,06 Distilled soju,0.009
2015,07 Diluted soju,5.875
2015,08 Whiskey,0.173
2015,09 Brandy,0.008
2015,10 Sprits,0.189
2015,11 Liquor,0.313
2015,12 Others,0.045
2016,,9.345
2016,01 Takju,0.678
2016,02 Yakju,0.031
2016,03 Cheongju,0.089
2016,04 Beer,2.15
2016,05 Wine,0.165
2016,06 Distilled soju,0.011
2016,07 Diluted soju,5.665
2016,08 Whiskey,0.163
2016,09 Brandy,0.007
2016,10 Sprits,0.15
2016,11 Liquor,0.16
2016,12 Others,0.076
2017,,9.27
2017,01 Takju,0.687
2017,02 Yakju,0.029
2017,03 Cheongju,0.095
2017,04 Beer,2.079
2017,05 Wine,0.149
2017,06 Distilled soju,0.016
2017,07 Diluted soju,5.682
2017,08 Whiskey,0.153
2017,09 Brandy,0.006
2017,10 Sprits,0.138
2017,11 Liquor,0.086
2017,12 Others,0.149
2018,,9.043
2018,01 Takju,0.668
2018,02 Yakju,0.03
2018,03 Cheongju,0.097
2018,04 Beer,2.033
2018,05 Wine,0.16
2018,06 Distilled soju,0.015
2018,07 Diluted soju,5.451
2018,08 Whiskey,0.135
2018,09 Brandy,0.005
2018,10 Sprits,0.134
2018,11 Liquor,0.081
2018,12 Others,0.235
